user_name,user_followers,user_friends,user_favourites,potential_bot
Time4fisticuffs,9275,9525,7254.0,False
ethel mertz,197,987,1488.0,False
DIPR-J&K,101009,168,101.0,False
🎹 Franz Schubert,1180,1071,1287.0,False
hr bartender,79956,54810,3801.0,False
Member of Christ 🇨🇳🇺🇸🇮🇳🇮🇩🇧🇷🇳🇬🇧🇩🇷🇺,55201,34239,29802.0,False
Creativegms,241,1694,8443.0,True
SEXXYLYPPS,0,8,32.0,False
Africa Youth Advisory Board on DRR,830,254,3692.0,False
Dimapur 24/7.,274,32,378.0,False
marc goovaerts🇪🇺🏳️‍🌈,283,1432,1546.0,False
CAWST,3038,2713,7445.0,False
Florian Bieber,18145,1389,13578.0,False
Blood Donors India,1215920,2047,19359.0,False
Tetra Tech International Development,20699,458,2680.0,False
beatnikgeek the soothsayer,86,259,9412.0,False
Mugilan Chandrakumar,8205,1083,32076.0,False
V2Cinemas,55589,548,10526.0,False
Beautify Data,82,92,1152.0,False
Alan Taylor,54,422,1392.0,False
harleyb,6156,5463,193090.0,False
Mr Gazz,1416,1637,46021.0,False
ASHP,32008,3763,7862.0,False
Aishling Sheridan,1136,484,2002.0,False
Matthew McGee ⴵ 🌍🇪🇺🇬🇧🎭🎞📚,3113,3086,221545.0,False
N I C TA S H ♍,481,308,1120.0,False
TOI Delhi,52186,41,74.0,False
Dr. K. Surender Raj,152,885,1496.0,True
Barry Grodenchik,4868,445,31825.0,False
CARLINO,11,3,133.0,False
ᏉᎥ☻լꂅϮ,624,950,18775.0,False
Jazmine❄️,18092,17557,7156.0,False
Charles Mapundu,11,40,192.0,False
Stephen Williams,1429,926,1324.0,False
BestValueButtons,1267,2869,1204.0,False
Whitey,133,615,2106.0,False
InvestmentGuruIndia,15635,35,2.0,True
St. Jude India ChildCare Centres,635,371,772.0,False
IMF,1695520,444,182.0,False
John Dalton 🇬🇧💔🇪🇺,3051,4069,30527.0,False
Dr John Stanton #ClimateEmergency #ScotlandXr,126,199,8893.0,False
Cholderton Farm Shop,221,177,129.0,False
Sales & Business Coach: Rakesh Sharma,41,0,2.0,True
New Straits Times,716342,411,874.0,False
National Herald,99381,315,333.0,False
MAX,73317,1704,5818.0,False
Senator G Craughwell,9623,9494,27038.0,False
UmaDlamini,712,87,121.0,True
ROMEO 🗯️,1666,2204,201.0,False
TNCoronaUpdates,6601,24,22269.0,False
The GAA,398260,150,2864.0,False
RumpusGuy64,170,724,11790.0,False
VideoChinaTV,355,202,256.0,False
Kollywood Arena™,28,164,196.0,True
Habitat For Humanity Texas,876,777,1640.0,False
Thomas Faires,738,143,28004.0,False
adventuresbydad,7657,329,25913.0,False
Dr. Miguel Escalon,1299,994,2743.0,False
🎹 Franz Schubert,1180,1071,1287.0,False
Public Health is the Economy,10874,7330,488878.0,False
Michelle Dunning,543,970,16055.0,False
Jasmine,2181,1928,25969.0,True
Livemint,1902888,117,472.0,False
Gary Keywood,19257,12615,57909.0,False
CEO @ Salford CVS 🌍,4651,3494,40003.0,False
IAM Platform,17815,14941,65440.0,False
Jessica Roland,2314,1923,12908.0,False
Leicestershire CC,19996,1777,3705.0,False
Siddarth Srinivas,68681,2110,11963.0,False
James Wilson,50389,915,32680.0,False
Shayna Baruch,69,27,9.0,True
Dorri 🌊 ❄️ ✍️,28615,21182,43131.0,False
Hanoitimes,506,135,31.0,False
PCE,488,496,1073.0,False
Resist2020,89,245,12529.0,False
YourTV Windsor,2719,354,7362.0,False
Frank Brehany,2093,4978,5266.0,False
Murthy Journalist,22124,6,18.0,False
Magilla Gorilla 39,1428,95,2741.0,True
#FliptheSenate #HoldtheHouse #BLM #ArrestTrump,2617,2773,3.0,True
#BBNaija Live Stream,839,478,676.0,False
Breaking Movies,23871,1718,22206.0,False
NEWS9,25592,6,84.0,False
"Christine Murphy Estes, MM, MA, CCC-SLP",622,1220,1121.0,False
Khaleej Times,565059,1102,493.0,False
Suky Spook,1960,1956,95918.0,False
Qatar Day- Pulse of Nation,27032,753,4468.0,False
TimesJobs,17848,1468,241.0,False
StevenageTico,338,838,24047.0,False
Mark Thoms,119,455,1886.0,False
DailyaddaaNews,546,29,88.0,False
Michael Schindele,10127,10231,992.0,False
Nishant Killedar,168,221,145.0,False
Suvendu Adhikari Supporters,610,6,0.0,True
LatestLY,62622,348,97.0,False
First India,5706,202,118.0,False
Rutland Radio,7704,1268,11477.0,False
SOLA-Support 🇮🇪,201,549,80.0,True
Reclaim Humanity,4579,5034,72501.0,False
Brian F. Kelcey,7601,4101,45576.0,False
Short News,36,56,34.0,True
Nishant Killedar,168,221,145.0,False
Viet Nam Government Portal,11394,594,2650.0,False
Nishant Killedar,168,221,145.0,False
"Wendy Sterling, MS, RD, CSSD, CEDRD-S",437,693,590.0,False
Gabriel Hébert-Røuillier,832,3600,6933.0,True
IHBlythe Ⓥ,734,910,18334.0,False
coley,33,188,108.0,False
Global Health Observ,3758,801,1925.0,False
Socrates,2170,3856,22536.0,False
Rajasekar,136618,586,3888.0,False
Michelle Dunning,543,970,16055.0,False
OrianaBeaudet DNP RN,514,2277,1772.0,False
TNN,171,74,50.0,True
GlobalPandemic.NET,26108,26003,2.0,True
SA HIPHOP RADIO,9616,1873,128.0,False
Hindustan Petroleum Corporation Limited,152595,1483,37932.0,False
Dr. Mayank Puri,4774,2436,14421.0,False
Jim Roberts,209711,2391,25853.0,False
UAE Forsan,13083,3,366.0,False
Micheal McCool #NativeLivesMatter 🇵🇸,24586,18929,45302.0,False
Plex Systems,4630,2993,3859.0,False
CGTN Business,301,12,7.0,True
CGTN,13892795,69,104.0,False
Mark Goldberg,741,376,3944.0,False
Luis M Burgos,1838,2186,8218.0,False
Dr.S,1124,631,8500.0,False
Karina Scott,542,2182,826.0,False
ⓋTIGERTIGERⓋ,1673,2060,813.0,False
Terry 😷,110,449,2533.0,False
First India,5706,202,118.0,False
Steven Petrow,4650,1067,3090.0,False
Ismael,406,1721,30306.0,False
Purdue HHS Extension,988,653,3627.0,False
Dheer Vyas,55,194,167.0,True
John Lichtenberger,38301,38729,27463.0,False
Rajesh Purohit,38,52,133.0,False
"Ryan T. Cleary, MD",680,286,176.0,False
"Dara Kass, MD",43608,1874,35307.0,False
Samantha Sovereign,177,196,1702.0,False
HAMSEY Enterprise,89,621,485.0,False
"xposure, Photo&Video",1400,2079,3778.0,False
EKITI COVID19 UPDATES,865,3,28.0,False
Tonymhoon,16,145,132.0,False
Scott Petty,522,599,3076.0,False
Ty King,719,1034,84.0,True
SPsofIndia,2612,311,1652.0,False
Jimbo360,56,422,1677.0,False
Austeiin 🔞,1227,847,32189.0,False
PTBO_CANADA 🇨🇦,20721,722,23706.0,False
Andrew S. Roe-Crines 🏳️‍🌈 🚴‍♂️,3927,3936,2254.0,False
Wear A. Mask,6,99,367.0,True
#Angeneme OUT NOW ON ALL DIGITAL STORES!!!,1135,895,3.0,True
Inves2money,286,489,371.0,False
Michael B.,344,815,2907.0,False
Nelson Amaral,294,879,415.0,False
Farah Khan,230,605,7.0,True
Lynn Rousseau-Tuitt,7258,7899,21187.0,False
ArogyaAndhra,77119,79,523.0,False
Nicehands35,8,9,59.0,False
Mirtika (But You Can Call Me Mir),938,1384,24400.0,False
Anthony Nicodemo🏳️‍🌈🇺🇸🏀,3336,1061,4909.0,False
Paris Tyler,355,842,8765.0,False
H00tingNight0wl,36,438,197.0,False
Coronavirus ☣️ Turkish Agency,8332,63,175.0,True
Countergrind,287,974,7969.0,False
Cindie Vaccaro 🇺🇸⚜🇮🇱,25890,27074,107015.0,False
Daphne C. Harris,354,475,11590.0,False
Assistance Croatia,177,92,14339.0,False
Frederick Frank,2160,4989,106290.0,False
Observatory,113,109,10.0,False
G V Vinod Kumar,543,330,173.0,False
Wear A. Mask,6,99,367.0,True
peter,936,1324,61241.0,False
EJ,685,2221,11301.0,False
Covid19Qatar,11293,15,4.0,True
Todd J Zola,494,173,3696.0,False
Mojubaolu Okome,1537,556,54686.0,False
Report Annapolis,137,897,35.0,False
Maria M. Agosto,820,1234,21210.0,False
Isaac Bogoch,43668,778,20622.0,False
Kendall Harmon,1613,2762,674.0,False
Eyewitness News,1164651,3706,268.0,False
The Hindu,6296857,201,144.0,False
Yicai Global 第一财经,262750,2238,853.0,False
Angsuman's Server,83,28,133.0,False
Kevin Guest,902,1561,4608.0,False
Dr. Kate Tulenko,3202,2675,118.0,False
Timothy Dunn,5429,1986,40843.0,False
Namita_TNIE,279,188,468.0,False
Village_Man🇳🇬🇳🇬🇳🇬⚓⚓⚓⛈🌦🌤☂⛱☃☄❄🔥☂⚡🌂🌠🌜,121,1907,366.0,False
punam nanda,337,356,3307.0,False
Global Policy,11354,3846,2637.0,False
Combative Firebrand,2729,4999,120801.0,False
UNICEF New Zealand,6779,2609,3735.0,False
Smart,2338,13,1.0,True
Wandsworth Council Business Team,4409,4609,7135.0,False
Stephen Mercy,121,239,1259.0,False
SSRF Spirituality,14625,2435,3142.0,False
Lindy🌨,101,109,175.0,False
Keerthana J,747,0,91.0,False
Wipro Limited,479927,932,4981.0,False
Wally Bock,24887,11161,80.0,False
Gulf News,1142417,229,486.0,False
Monte DeArmoun,1354,3222,1676.0,False
"J.-F. Claude, M.S.M.",10304,1543,105258.0,False
Emile Smith,439,424,1372.0,False
Jayanth P,1261,441,5619.0,False
Prof Sara Mole,1106,784,8597.0,False
myKhel.com,11076,900,146.0,False
TechGenyz,19567,14662,2109.0,False
adil,1063,1153,722.0,False
Fady Hocheimy,1710,225,1551.0,False
christal owens-thomp,72,248,406.0,False
Dr. Thomas Wilckens,3557,3135,10579.0,False
Josh,1100,938,4189.0,False
ANDREA  BURKE,614,397,2673.0,False
cinemarascals,287,2114,343.0,False
marklaverdure,10078,10316,19623.0,False
Colin Robinson,374,499,27401.0,False
Andrew Morgan📐✏🔨📏 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺,1516,1240,18473.0,False
Cornishview,4769,4725,43917.0,False
Ladja,769,656,2144.0,False
Mary Farmer 🇬🇧 Stop Cyber Bullying,1333,626,5451.0,False
Jaimin kumar,26,171,161.0,False
ChericeAntoinette,1497,2504,12413.0,False
BreakingNewsWW,3332,110,10590.0,False
GlobalPandemic.NET,26108,26003,2.0,True
@NaniExperience,102,388,1885.0,True
MorningGlory,371,289,24707.0,False
Jackie Bickerstaffe,169,135,11038.0,False
Stephanie,163,166,598.0,False
Raza Ahmad Rumi,492605,6899,58197.0,False
Mx. Joe~Anthony Sierra Let us pray #COVID19 away,355,228,3685.0,False
COVID-19: The Numbers,14,87,3.0,True
Ines Abdelaziz ✨,35,353,1150.0,False
TNIE Andhra Pradesh,3426,179,769.0,False
Shantiswarup Mahapatra ©,432,432,5470.0,False
Mindful,2146,1968,572.0,False
marklaverdure,10078,10316,19623.0,False
Maryellen Alvarez,58,180,6845.0,False
Suky Spook,1960,1956,95918.0,False
knight_Nostalgia,210,967,3294.0,False
William Laferriere,638,1177,11776.0,False
Keerthana J,747,0,91.0,False
Anthonia👩🏻‍🎓,205,153,10553.0,False
Kᴏʟʟʏ Sᴛᴜᴅɪᴏꜱ ™,91354,1561,2804.0,False
Vamsi Shekar,29871,404,25304.0,False
BODYSLAM.NET,25425,19091,25201.0,False
Sajjad Ali Altamash,181,7,361.0,False
Shabraiz Bashir (شبریز بَشیر),336,79,479.0,False
CILT Ireland,924,517,1432.0,False
The Lancet Infectious Diseases,41714,242,760.0,False
CBC Day 6,17038,2603,2368.0,False
Mark Thoms,119,455,1886.0,False
JB,3187,4722,9490.0,False
Wood Inn Birdhouses,2,19,60.0,True
TinkerLane 😷 Mask/Handwashing/Distance ⚽🗽🌌🍷🐋🌊,4809,4920,2021.0,False
titus tittoh,283,325,1894.0,False
Sarkazzum,12,22,19.0,True
Chris,122,122,3098.0,False
S Mannar Mannan,1005,418,131.0,False
